power_limit_w,timestamp,gpu_index,pstate,clk_graphics_mhz,clk_sm_mhz,clk_mem_mhz,power_draw_w,temp_c
150,1777238432.400,3,P1,607,607,13365,149.98,30
150,1777238433.666,3,P1,607,607,13365,151.47,29
150,1777238434.887,3,P1,615,615,13365,149.80,30
150,1777238436.108,3,P1,600,600,13365,149.24,30
150,1777238437.331,3,P1,607,607,13365,149.74,30
150,1777238438.552,3,P1,615,615,13365,148.95,30
150,1777238439.777,3,P1,607,607,13365,151.49,30
150,1777238441.001,3,P1,607,607,13365,149.70,30
150,1777238442.293,3,P1,615,615,13365,150.05,30
150,1777238443.515,3,P1,607,607,13365,149.74,30
150,1777238444.737,3,P1,615,615,13365,150.12,31
150,1777238445.955,3,P1,600,600,13365,150.94,29
150,1777238447.181,3,P1,615,615,13365,148.58,31
150,1777238448.400,3,P1,607,607,13365,150.16,30
150,1777238449.626,3,P1,607,607,13365,151.14,31
150,1777238450.931,3,P1,607,607,13365,149.76,31
150,1777238452.223,3,P1,607,607,13365,149.87,31
150,1777238453.440,3,P1,607,607,13365,151.50,31
150,1777238454.666,3,P1,607,607,13365,149.68,31
150,1777238455.886,3,P1,600,600,13365,148.83,32
150,1777238457.107,3,P1,600,600,13365,149.98,31
150,1777238458.329,3,P1,600,600,13365,149.62,32
150,1777238459.552,3,P1,600,600,13365,150.06,32
150,1777238460.907,3,P1,600,600,13365,150.25,33
150,1777238462.185,3,P1,600,600,13365,149.60,32
150,1777238463.406,3,P1,600,600,13365,148.63,33
150,1777238464.626,3,P1,607,607,13365,150.23,32
150,1777238465.850,3,P1,600,600,13365,150.07,33
150,1777238467.078,3,P1,607,607,13365,151.50,33
150,1777238468.408,3,P1,607,607,13365,149.74,33
200,1777238481.976,3,P1,660,660,13365,200.00,36
200,1777238483.195,3,P1,660,660,13365,200.00,36
200,1777238484.412,3,P1,660,660,13365,200.00,36
200,1777238485.635,3,P1,660,660,13365,199.99,36
200,1777238486.860,3,P1,660,660,13365,199.99,36
200,1777238488.082,3,P1,660,660,13365,199.99,36
200,1777238489.397,3,P1,660,660,13365,199.99,36
200,1777238490.664,3,P1,660,660,13365,200.00,36
200,1777238491.884,3,P1,660,660,13365,199.99,37
200,1777238493.111,3,P1,660,660,13365,199.99,37
200,1777238494.334,3,P1,660,660,13365,200.00,37
200,1777238495.559,3,P1,660,660,13365,200.00,37
200,1777238496.780,3,P1,660,660,13365,200.00,37
200,1777238498.027,3,P1,652,652,13365,200.00,37
200,1777238499.313,3,P1,652,652,13365,200.00,37
200,1777238500.534,3,P1,660,660,13365,199.99,37
200,1777238501.757,3,P1,660,660,13365,199.99,37
200,1777238503.030,3,P1,660,660,13365,199.99,37
200,1777238504.252,3,P1,652,652,13365,200.00,37
200,1777238505.474,3,P1,660,660,13365,199.99,38
200,1777238506.697,3,P1,660,660,13365,199.99,38
200,1777238508.052,3,P1,660,660,13365,199.99,38
200,1777238509.271,3,P1,652,652,13365,200.00,38
200,1777238510.492,3,P1,652,652,13365,200.00,38
200,1777238511.723,3,P1,660,660,13365,200.00,38
200,1777238512.945,3,P1,652,652,13365,200.00,38
200,1777238514.170,3,P1,652,652,13365,199.99,38
200,1777238515.389,3,P1,660,660,13365,199.99,38
200,1777238516.754,3,P1,652,652,13365,200.00,38
200,1777238518.083,3,P1,660,660,13365,200.00,38
250,1777238531.531,3,P1,847,847,13365,249.99,40
250,1777238532.757,3,P1,847,847,13365,250.00,41
250,1777238533.992,3,P1,847,847,13365,250.00,41
250,1777238535.216,3,P1,847,847,13365,250.00,41
250,1777238536.589,3,P1,847,847,13365,250.01,41
250,1777238537.847,3,P1,847,847,13365,249.99,41
250,1777238539.083,3,P1,847,847,13365,249.99,41
250,1777238540.313,3,P1,847,847,13365,250.00,41
250,1777238541.540,3,P1,847,847,13365,249.99,41
250,1777238542.759,3,P1,847,847,13365,250.00,41
250,1777238543.987,3,P1,847,847,13365,250.00,42
250,1777238545.346,3,P1,847,847,13365,250.00,42
250,1777238546.641,3,P1,847,847,13365,250.00,42
250,1777238547.864,3,P1,847,847,13365,250.00,42
250,1777238549.086,3,P1,847,847,13365,250.00,42
250,1777238550.305,3,P1,847,847,13365,250.00,42
250,1777238551.529,3,P1,847,847,13365,249.99,42
250,1777238552.795,3,P1,847,847,13365,249.99,42
250,1777238554.119,3,P1,847,847,13365,250.00,42
250,1777238555.401,3,P1,847,847,13365,249.99,42
250,1777238556.623,3,P1,847,847,13365,250.00,42
250,1777238557.844,3,P1,847,847,13365,249.99,42
250,1777238559.086,3,P1,967,967,13365,250.01,41
250,1777238560.329,3,P1,847,847,13365,250.01,43
250,1777238561.554,3,P1,847,847,13365,249.99,43
250,1777238562.891,3,P1,847,847,13365,249.99,43
250,1777238564.169,3,P1,997,997,13365,250.00,42
